# SpotBugs LOW-confidence reviewed inventory.
# Format: type|priority|class|method|methodDescriptor|field|fieldDescriptor|count
# Every change requires review against documentation/StaticAnalysis.md.
CT_CONSTRUCTOR_THROW|2|com.googlecode.cqengine.query.logical.Or|<init>|(Ljava/util/Collection;)V|||1
CT_CONSTRUCTOR_THROW|2|com.googlecode.cqengine.query.logical.Or|<init>|(Ljava/util/Collection;Z)V|||1
CT_CONSTRUCTOR_THROW|2|com.googlecode.cqengine.query.option.OrderByOption|<init>|(Ljava/util/List;)V|||1
CT_CONSTRUCTOR_THROW|2|com.googlecode.cqengine.query.parser.common.QueryParser|<init>|(Ljava/lang/Class;)V|||1
CT_CONSTRUCTOR_THROW|2|com.googlecode.cqengine.query.parser.common.QueryParser|<init>|(Ljava/lang/Class;Lcom/googlecode/cqengine/query/parser/common/ParserLimits;Lcom/googlecode/cqengine/query/parser/common/RegexPolicy;)V|||1
CT_CONSTRUCTOR_THROW|2|com.googlecode.cqengine.query.simple.ExistsIn|<init>|(Lcom/googlecode/cqengine/IndexedCollection;Lcom/googlecode/cqengine/attribute/Attribute;Lcom/googlecode/cqengine/attribute/Attribute;)V|||1
CT_CONSTRUCTOR_THROW|2|com.googlecode.cqengine.query.simple.ExistsIn|<init>|(Lcom/googlecode/cqengine/IndexedCollection;Lcom/googlecode/cqengine/attribute/Attribute;Lcom/googlecode/cqengine/attribute/Attribute;Lcom/googlecode/cqengine/query/Query;)V|||1
CT_CONSTRUCTOR_THROW|2|com.googlecode.cqengine.query.simple.In|<init>|(Lcom/googlecode/cqengine/attribute/Attribute;ZLjava/util/Set;)V|||1
CT_CONSTRUCTOR_THROW|2|com.googlecode.cqengine.query.simple.SimpleQuery|<init>|(Lcom/googlecode/cqengine/attribute/Attribute;)V|||1
DCN_NULLPOINTER_EXCEPTION|2|com.googlecode.cqengine.index.sqlite.support.DBQueries|bulkAdd|(Ljava/lang/Iterable;Ljava/lang/String;Ljava/sql/Connection;)I|||1
DCN_NULLPOINTER_EXCEPTION|2|com.googlecode.cqengine.index.sqlite.support.DBQueries|bulkRemove|(Ljava/lang/Iterable;Ljava/lang/String;Ljava/sql/Connection;)I|||1
DE_MIGHT_IGNORE|3|com.googlecode.cqengine.index.sqlite.support.DBUtils|closeQuietly|(Ljava/sql/Connection;)V|||1
DE_MIGHT_IGNORE|3|com.googlecode.cqengine.index.sqlite.support.DBUtils|closeQuietly|(Ljava/sql/ResultSet;)V|||1
DE_MIGHT_IGNORE|3|com.googlecode.cqengine.index.sqlite.support.DBUtils|closeQuietly|(Ljava/sql/Statement;)V|||1
DE_MIGHT_IGNORE|3|com.googlecode.cqengine.index.support.CloseableRequestResources|closeQuietly|(Ljava/io/Closeable;)V|||1
DLS_DEAD_LOCAL_STORE|3|com.googlecode.cqengine.resultset.iterator.IteratorUtil|countElements|(Ljava/lang/Iterable;)I|||1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.engine.CollectionQueryEngine|init|(Lcom/googlecode/cqengine/persistence/support/ObjectStore;Lcom/googlecode/cqengine/query/option/QueryOptions;)V|objectStore|Lcom/googlecode/cqengine/persistence/support/ObjectStore;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.index.fallback.FallbackIndex|init|(Lcom/googlecode/cqengine/persistence/support/ObjectStore;Lcom/googlecode/cqengine/query/option/QueryOptions;)V|objectStore|Lcom/googlecode/cqengine/persistence/support/ObjectStore;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.index.sqlite.SimpleConnectionManager|<init>|(Ljava/sql/Connection;)V|connection|Ljava/sql/Connection;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.index.support.CloseableRequestResources$CloseableResourceGroup|<init>|(Lcom/googlecode/cqengine/index/support/CloseableRequestResources;)V|this$0|Lcom/googlecode/cqengine/index/support/CloseableRequestResources;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.index.support.UnmodifiableNavigableSet|<init>|(Ljava/util/NavigableSet;)V|delegate|Ljava/util/NavigableSet;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.metadata.MetadataEngine|<init>|(Lcom/googlecode/cqengine/IndexedCollection;Ljava/util/function/Supplier;Ljava/util/function/Consumer;)V|indexedCollection|Lcom/googlecode/cqengine/IndexedCollection;|1
